"munic_id","munic_name","FASE","area_ha"
3203908,"NOVA VENECIA","AUTORIZAÇÃO DE PESQUISA",513.278
3203908,"NOVA VENECIA","DISPONIBILIDADE",3.544
3203908,"NOVA VENECIA","REQUERIMENTO DE LAVRA",533.465
3200904,"BARRA DE SAO FRANCISCO","AUTORIZAÇÃO DE PESQUISA",539.156
3200904,"BARRA DE SAO FRANCISCO","CONCESSÃO DE LAVRA",122.853
3200904,"BARRA DE SAO FRANCISCO","DISPONIBILIDADE",82.994
3200904,"BARRA DE SAO FRANCISCO","REQUERIMENTO DE LAVRA",252.905
3200904,"BARRA DE SAO FRANCISCO","REQUERIMENTO DE PESQUISA",32.398
3203304,"MANTENOPOLIS","AUTORIZAÇÃO DE PESQUISA",8325.87
3203304,"MANTENOPOLIS","DISPONIBILIDADE",1778.624
3203304,"MANTENOPOLIS","REQUERIMENTO DE LAVRA",970.08
3203304,"MANTENOPOLIS","REQUERIMENTO DE PESQUISA",241.621
3205176,"VILA VALERIO","AUTORIZAÇÃO DE PESQUISA",9759.25
3205176,"VILA VALERIO","CONCESSÃO DE LAVRA",680.98
3205176,"VILA VALERIO","DIREITO DE REQUERER A LAVRA",0.96
3205176,"VILA VALERIO","DISPONIBILIDADE",765.878
3205176,"VILA VALERIO","LICENCIAMENTO",20.266
3205176,"VILA VALERIO","REQUERIMENTO DE LAVRA",1081.445
3205176,"VILA VALERIO","REQUERIMENTO DE PESQUISA",64.757
3200136,"AGUIA BRANCA","AUTORIZAÇÃO DE PESQUISA",23411.14
3200136,"AGUIA BRANCA","CONCESSÃO DE LAVRA",4334.902
3200136,"AGUIA BRANCA","DIREITO DE REQUERER A LAVRA",868.422
3200136,"AGUIA BRANCA","DISPONIBILIDADE",1516.135
3200136,"AGUIA BRANCA","LICENCIAMENTO",84.812
3200136,"AGUIA BRANCA","REQUERIMENTO DE LAVRA",8794.663
3200136,"AGUIA BRANCA","REQUERIMENTO DE LICENCIAMENTO",14.33
3200136,"AGUIA BRANCA","REQUERIMENTO DE PESQUISA",791.456
3204708,"SAO GABRIEL DA PALHA","AUTORIZAÇÃO DE PESQUISA",11201.967
3204708,"SAO GABRIEL DA PALHA","CONCESSÃO DE LAVRA",648.819
3204708,"SAO GABRIEL DA PALHA","DISPONIBILIDADE",18.863
3204708,"SAO GABRIEL DA PALHA","LICENCIAMENTO",22.261
3204708,"SAO GABRIEL DA PALHA","REQUERIMENTO DE LAVRA",2374.817
3204708,"SAO GABRIEL DA PALHA","REQUERIMENTO DE LICENCIAMENTO",13.008
3204708,"SAO GABRIEL DA PALHA","REQUERIMENTO DE PESQUISA",1313.822
3205010,"SOORETAMA","AUTORIZAÇÃO DE PESQUISA",1404.872
3205010,"SOORETAMA","DISPONIBILIDADE",192.122
3205010,"SOORETAMA","REQUERIMENTO DE LAVRA",417.991
3205010,"SOORETAMA","REQUERIMENTO DE LICENCIAMENTO",0.504
3200359,"ALTO RIO NOVO","AUTORIZAÇÃO DE PESQUISA",17519.003
3200359,"ALTO RIO NOVO","CONCESSÃO DE LAVRA",50.472
3200359,"ALTO RIO NOVO","DISPONIBILIDADE",662.935
3200359,"ALTO RIO NOVO","REQUERIMENTO DE LAVRA",2075.295
3200359,"ALTO RIO NOVO","REQUERIMENTO DE PESQUISA",5.602
3204005,"PANCAS","AUTORIZAÇÃO DE PESQUISA",42073.987
3204005,"PANCAS","CONCESSÃO DE LAVRA",3281.497
3204005,"PANCAS","DISPONIBILIDADE",3343.018
3204005,"PANCAS","REQUERIMENTO DE LAVRA",8144.377
3204005,"PANCAS","REQUERIMENTO DE LAVRA GARIMPEIRA",47.734
3204005,"PANCAS","REQUERIMENTO DE PESQUISA",1869.304
3203205,"LINHARES","AUTORIZAÇÃO DE PESQUISA",99572.353
3203205,"LINHARES","CONCESSÃO DE LAVRA",333.084
3203205,"LINHARES","DIREITO DE REQUERER A LAVRA",1174.839
3203205,"LINHARES","DISPONIBILIDADE",13843.154
3203205,"LINHARES","LICENCIAMENTO",1523.802
3203205,"LINHARES","REQUERIMENTO DE LAVRA",8076.687
3203205,"LINHARES","REQUERIMENTO DE LICENCIAMENTO",816.097
3203205,"LINHARES","REQUERIMENTO DE PESQUISA",8388.896
3204658,"SAO DOMINGOS DO NORTE","AUTORIZAÇÃO DE PESQUISA",14543.273
3204658,"SAO DOMINGOS DO NORTE","CONCESSÃO DE LAVRA",1382.124
3204658,"SAO DOMINGOS DO NORTE","DIREITO DE REQUERER A LAVRA",1145.522
3204658,"SAO DOMINGOS DO NORTE","DISPONIBILIDADE",1186.739
3204658,"SAO DOMINGOS DO NORTE","REQUERIMENTO DE LAVRA",4484.063
3204658,"SAO DOMINGOS DO NORTE","REQUERIMENTO DE LAVRA GARIMPEIRA",47.881
3204658,"SAO DOMINGOS DO NORTE","REQUERIMENTO DE PESQUISA",981.101
3204351,"RIO BANANAL","AUTORIZAÇÃO DE PESQUISA",40293.695
3204351,"RIO BANANAL","CONCESSÃO DE LAVRA",865.154
3204351,"RIO BANANAL","DIREITO DE REQUERER A LAVRA",547.831
3204351,"RIO BANANAL","DISPONIBILIDADE",4421.171
3204351,"RIO BANANAL","LICENCIAMENTO",28.72
3204351,"RIO BANANAL","REQUERIMENTO DE LAVRA",3654.048
3204351,"RIO BANANAL","REQUERIMENTO DE PESQUISA",6202.139
3204351,"RIO BANANAL","REQUERIMENTO DE REGISTRO DE EXTRAÇÃO",5
3201506,"COLATINA","AUTORIZAÇÃO DE PESQUISA",103809.907
3201506,"COLATINA","CONCESSÃO DE LAVRA",10361.652
3201506,"COLATINA","DIREITO DE REQUERER A LAVRA",559.316
3201506,"COLATINA","DISPONIBILIDADE",8199.979
3201506,"COLATINA","LICENCIAMENTO",479.388
3201506,"COLATINA","REQUERIMENTO DE LAVRA",26290.279
3201506,"COLATINA","REQUERIMENTO DE LAVRA GARIMPEIRA",98.206
3201506,"COLATINA","REQUERIMENTO DE LICENCIAMENTO",137.777
3201506,"COLATINA","REQUERIMENTO DE PESQUISA",2680.801
3200805,"BAIXO GUANDU","AUTORIZAÇÃO DE PESQUISA",49462.613
3200805,"BAIXO GUANDU","CONCESSÃO DE LAVRA",4782.996
3200805,"BAIXO GUANDU","DIREITO DE REQUERER A LAVRA",1685.636
3200805,"BAIXO GUANDU","DISPONIBILIDADE",6358.462
3200805,"BAIXO GUANDU","LICENCIAMENTO",7.602
3200805,"BAIXO GUANDU","REQUERIMENTO DE LAVRA",20304.46
3200805,"BAIXO GUANDU","REQUERIMENTO DE LAVRA GARIMPEIRA",50.904
3200805,"BAIXO GUANDU","REQUERIMENTO DE PESQUISA",4783.148
3203353,"MARILANDIA","AUTORIZAÇÃO DE PESQUISA",19904.351
3203353,"MARILANDIA","CONCESSÃO DE LAVRA",3.026
3203353,"MARILANDIA","DIREITO DE REQUERER A LAVRA",1028.062
3203353,"MARILANDIA","DISPONIBILIDADE",1734.192
3203353,"MARILANDIA","LICENCIAMENTO",9.587
3203353,"MARILANDIA","REQUERIMENTO DE LAVRA",3721.377
3203353,"MARILANDIA","REQUERIMENTO DE LICENCIAMENTO",10.29
3203353,"MARILANDIA","REQUERIMENTO DE PESQUISA",755.466
3200607,"ARACRUZ","AUTORIZAÇÃO DE PESQUISA",34.274
3200607,"ARACRUZ","CONCESSÃO DE LAVRA",3.594
3202702,"ITAGUACU","AUTORIZAÇÃO DE PESQUISA",28446.151
3202702,"ITAGUACU","CONCESSÃO DE LAVRA",4342.526
3202702,"ITAGUACU","DIREITO DE REQUERER A LAVRA",544.552
3202702,"ITAGUACU","DISPONIBILIDADE",1702.986
3202702,"ITAGUACU","LICENCIAMENTO",65.89
3202702,"ITAGUACU","REQUERIMENTO DE LAVRA",10017.21
3202702,"ITAGUACU","REQUERIMENTO DE LAVRA GARIMPEIRA",50.002
3202702,"ITAGUACU","REQUERIMENTO DE LICENCIAMENTO",35.781
3202702,"ITAGUACU","REQUERIMENTO DE PESQUISA",0.043
3204955,"SAO ROQUE DO CANAA","AUTORIZAÇÃO DE PESQUISA",16558.934
3204955,"SAO ROQUE DO CANAA","CONCESSÃO DE LAVRA",133.923
3204955,"SAO ROQUE DO CANAA","DIREITO DE REQUERER A LAVRA",12.584
3204955,"SAO ROQUE DO CANAA","DISPONIBILIDADE",1608.815
3204955,"SAO ROQUE DO CANAA","LICENCIAMENTO",21.271
3204955,"SAO ROQUE DO CANAA","REQUERIMENTO DE LAVRA",5148.268
3204955,"SAO ROQUE DO CANAA","REQUERIMENTO DE LICENCIAMENTO",23.061
3204955,"SAO ROQUE DO CANAA","REQUERIMENTO DE PESQUISA",6.433
3203130,"JOAO NEIVA","AUTORIZAÇÃO DE PESQUISA",12849.089
3203130,"JOAO NEIVA","CONCESSÃO DE LAVRA",47.981
3203130,"JOAO NEIVA","DISPONIBILIDADE",1017.228
3203130,"JOAO NEIVA","REQUERIMENTO DE LAVRA",982.931
3203130,"JOAO NEIVA","REQUERIMENTO DE PESQUISA",802.715
3204609,"SANTA TERESA","AUTORIZAÇÃO DE PESQUISA",28376.179
3204609,"SANTA TERESA","CONCESSÃO DE LAVRA",41.775
3204609,"SANTA TERESA","DIREITO DE REQUERER A LAVRA",32.18
3204609,"SANTA TERESA","DISPONIBILIDADE",627.727
3204609,"SANTA TERESA","REQUERIMENTO DE LAVRA",4263.543
3204609,"SANTA TERESA","REQUERIMENTO DE PESQUISA",432.002
3202504,"IBIRACU","AUTORIZAÇÃO DE PESQUISA",686.15
3202504,"IBIRACU","REQUERIMENTO DE LAVRA",341.858
3203163,"LARANJA DA TERRA","AUTORIZAÇÃO DE PESQUISA",26744.162
3203163,"LARANJA DA TERRA","DISPONIBILIDADE",335.541
3203163,"LARANJA DA TERRA","LICENCIAMENTO",191.578
3203163,"LARANJA DA TERRA","REQUERIMENTO DE LAVRA",1717.56
3203163,"LARANJA DA TERRA","REQUERIMENTO DE LICENCIAMENTO",14.494
3203163,"LARANJA DA TERRA","REQUERIMENTO DE PESQUISA",1518.388
3202900,"ITARANA","AUTORIZAÇÃO DE PESQUISA",17092.019
3202900,"ITARANA","CONCESSÃO DE LAVRA",410.563
3202900,"ITARANA","DISPONIBILIDADE",937.418
3202900,"ITARANA","LICENCIAMENTO",1.391
3202900,"ITARANA","REGISTRO DE EXTRAÇÃO",7.854
3202900,"ITARANA","REQUERIMENTO DE LAVRA",1561.816
3202900,"ITARANA","REQUERIMENTO DE PESQUISA",48.424
3200102,"AFONSO CLAUDIO","AUTORIZAÇÃO DE PESQUISA",44932.791
3200102,"AFONSO CLAUDIO","CONCESSÃO DE LAVRA",3657.872
3200102,"AFONSO CLAUDIO","DISPONIBILIDADE",10805.731
3200102,"AFONSO CLAUDIO","LICENCIAMENTO",229.5
3200102,"AFONSO CLAUDIO","REQUERIMENTO DE LAVRA",12039.871
3200102,"AFONSO CLAUDIO","REQUERIMENTO DE LAVRA GARIMPEIRA",4.871
3200102,"AFONSO CLAUDIO","REQUERIMENTO DE LICENCIAMENTO",33.966
3200102,"AFONSO CLAUDIO","REQUERIMENTO DE PESQUISA",360.788
3201159,"BREJETUBA","AUTORIZAÇÃO DE PESQUISA",13049.441
3201159,"BREJETUBA","CONCESSÃO DE LAVRA",468.734
3201159,"BREJETUBA","DIREITO DE REQUERER A LAVRA",535.692
3201159,"BREJETUBA","DISPONIBILIDADE",2598.212
3201159,"BREJETUBA","LICENCIAMENTO",191.734
3201159,"BREJETUBA","REQUERIMENTO DE LAVRA",1633.395
3204559,"SANTA MARIA DE JETIBA","AUTORIZAÇÃO DE PESQUISA",2675.412
3204559,"SANTA MARIA DE JETIBA","DISPONIBILIDADE",548.034
3201902,"DOMINGOS MARTINS","AUTORIZAÇÃO DE PESQUISA",163.086
3201902,"DOMINGOS MARTINS","CONCESSÃO DE LAVRA",8.603
3201902,"DOMINGOS MARTINS","REQUERIMENTO DE LAVRA",24.907
3203700,"MUNIZ FREIRE","AUTORIZAÇÃO DE PESQUISA",710.221
3203700,"MUNIZ FREIRE","REQUERIMENTO DE LAVRA",425.678
3203007,"IUNA","AUTORIZAÇÃO DE PESQUISA",3760.782
3203007,"IUNA","DISPONIBILIDADE",192.62
3203007,"IUNA","REQUERIMENTO DE LAVRA",1233.742
3203007,"IUNA","REQUERIMENTO DE LICENCIAMENTO",5.605
3203007,"IUNA","REQUERIMENTO DE PESQUISA",494.887
3202454,"IBATIBA","AUTORIZAÇÃO DE PESQUISA",1469.827
3202454,"IBATIBA","CONCESSÃO DE LAVRA",25.9
3202454,"IBATIBA","DISPONIBILIDADE",29.468
3202454,"IBATIBA","REQUERIMENTO DE LAVRA",836.736
3201704,"CONCEICAO DO CASTELO","AUTORIZAÇÃO DE PESQUISA",370.495
3201704,"CONCEICAO DO CASTELO","CONCESSÃO DE LAVRA",50.401
3201704,"CONCEICAO DO CASTELO","REQUERIMENTO DE LAVRA",475.969
3202652,"IRUPI","AUTORIZAÇÃO DE PESQUISA",220.735
3202652,"IRUPI","REQUERIMENTO DE PESQUISA",84.194
3205069,"VENDA NOVA DO IMIGRANTE","REQUERIMENTO DE LAVRA",0.199
